"Buurten";"Aantal inwoners per 1-1|2023";"0 t/m 4 jaar|2023";"5 t/m 14 jaar|2023";"15 t/m 19 jaar|2023";"20 t/m 44 jaar|2023";"45 t/m 64 jaar|2023";"65 t/m 79 jaar|2023";"80 jaar en ouder|2023";"% Nederlands|2023";"% Turks|2023";"% Marokkaans|2023";"% Surinaams|2023";"% Antilliaans|2023";"% Overig niet-westers|2023";"% Westers|2023"
"01 Oud Scheveningen";2983;151;272;115;1035;855;433;122;71,8;0,6;1,0;1,4;1,1;6,9;17,2
"02 Vissershaven";4416;195;466;219;1492;1185;701;158;66,3;1,2;1,4;2,4;1,0;7,7;20,0
"03 Scheveningen Badplaats";5670;262;521;266;2113;1518;788;202;60,9;0,6;0,4;1,8;1,1;9,5;25,7
"04 Visserijbuurt";4048;178;444;205;1343;1023;591;264;61,0;0,7;1,6;1,9;1,4;9,8;23,5
"05 v Stolkpark/Schev Bosjes";843;29;75;54;204;254;166;61;49,9;0,8;1,2;0,9;1,3;9,8;35,9
"06 Waldeck-Zuid";2052;74;195;87;463;520;492;221;59,0;3,0;2,2;4,0;1,9;13,6;16,4
"07 Statenkwartier";10618;410;1284;718;3147;3139;1457;463;49,7;0,8;0,4;1,6;1,2;9,9;36,5
"08 Geuzenkwartier";4515;220;470;225;1469;1195;729;207;66,8;0,9;1,3;1,8;0,9;7,1;21,2
"09 Vogelwijk";5523;224;917;482;966;1778;947;209;71,1;0,5;0,1;1,1;0,3;4,4;22,6
"10 Rond de Energiecentrale";6582;357;522;246;3233;1477;607;140;38,4;4,7;5,0;12,4;2,9;13,3;23,4
"11 Kortenbos";7796;301;556;326;3665;1904;891;153;39,6;3,9;6,6;4,7;2,9;17,3;25,0
"12 Voorhout";2664;61;99;83;1487;571;286;77;41,4;2,0;1,3;2,0;1,5;16,6;35,4
"13 Uilebomen";3674;149;232;145;1823;841;413;71;32,7;3,2;6,6;7,8;3,6;21,3;24,9
"14 Zuidwal";7509;258;413;298;4017;1666;737;120;35,0;3,4;4,9;6,7;4,9;20,4;24,6
"15 Schildersbuurt-West";14360;801;1738;989;5594;3661;1292;285;8,3;27,1;16,7;15,6;2,4;16,2;13,8
"16 Schildersbuurt-Noord";9674;533;1255;697;3246;2596;1156;191;11,6;24,7;22,3;12,9;2,5;18,6;7,3
"17 Schildersbuurt-Oost";7058;393;960;570;2371;1917;736;111;6,4;22,8;24,7;13,8;3,6;17,8;11,0
"18 Huygenspark";8145;324;567;666;4556;1368;539;125;21,9;6,3;9,4;7,1;11,7;22,3;21,3
"19 Laakhaven-Oost";5288;204;395;476;2839;954;358;62;19,5;6,4;9,9;12,6;8,6;24,6;18,5
"20 Moerwijk-Oost";3138;245;408;148;1234;748;258;97;19,4;19,9;10,6;11,9;4,6;18,2;15,5
"21 Groente- en Fruitmarkt";7395;373;693;442;3645;1803;380;59;12,8;28,4;9,7;12,4;4,6;16,1;16,0
"22 Laakhaven-West";7061;434;626;314;3735;1406;465;81;19,0;15,7;13,4;12,2;6,8;19,9;13,0
"23 Spoorwijk";4346;245;583;328;1607;1205;318;60;20,1;14,2;12,7;21,1;4,2;14,0;13,8
"24 Laakkwartier-West";8241;404;859;445;3837;2047;539;110;23,5;5,7;3,9;12,6;4,1;14,7;35,5
"25 Laakkwartier-Oost";11623;587;1071;628;5736;2630;790;181;23,1;3,7;2,1;10,3;4,1;16,5;40,1
"26 Noordpolderbuurt";8443;486;895;529;3804;1967;628;134;14,4;8,3;15,3;12,1;5,8;18,9;25,2
"30 Rustenburg";6122;336;594;323;2649;1554;507;159;40,5;5,6;3,0;8,0;2,7;8,9;31,3
"31 Oostbroek-Noord";4618;263;461;231;2270;1052;272;69;27,3;10,2;2,2;10,8;2,5;11,6;35,3
"32 Transvaalkwartier-Noord";3937;246;452;220;1565;980;389;85;7,7;23,1;13,8;16,9;2,6;19,3;16,5
"33 Transvaalkwartier-Midden";5066;318;731;310;1874;1183;468;182;6,9;28,3;15,5;18,4;1,5;10,2;19,3
"34 Transvaalkwartier-Zuid";7324;431;892;524;2922;1943;504;108;5,8;24,4;10,5;16,0;1,6;12,6;29,1
"35 Oostbroek-Zuid";8417;475;941;468;3969;2011;463;90;20,9;13,7;2,4;9,7;1,7;10,9;40,8
"36 Zuiderpark";111;"x";"x";"x";"x";30;50;29;56,8;9,9;"x";10,8;"x";7,2;10,8
"37 Moerwijk-West";6215;428;828;342;2096;1705;645;171;20,3;11,4;13,7;9,6;5,3;28,0;11,6
"38 Moerwijk-Noord";7184;402;832;408;2999;1830;569;144;20,8;12,4;7,8;9,6;4,6;17,8;26,8
"39 Moerwijk-Zuid";4744;412;636;217;2047;922;357;153;23,1;13,6;16,5;12,4;5,6;20,3;8,4
"40 Nieuw Waldeck";7439;396;940;433;2143;1925;1276;326;56,8;4,2;5,0;6,7;2,6;9,3;15,3
"41 Zorgvliet";711;26;58;19;138;199;207;64;52,5;"x";"x";"x";"x";11,1;35,9
"42 Stadhoudersplantsoen";2864;119;263;106;1180;701;378;117;48,2;1,3;0,3;2,2;1,3;9,3;37,4
"43 Sweelinckplein eo";6004;264;646;319;2299;1686;684;106;53,2;0,8;0,6;2,4;0,8;8,8;33,3
"44 Koningsplein eo";7769;380;717;338;3645;1847;704;138;50,9;2,1;2,4;6,1;1,6;9,4;27,5
"45 Zeeheldenkwartier";12733;515;921;530;6104;3105;1299;259;46,1;2,5;4,2;4,8;2,5;13,6;26,4
"46 Archipelbuurt";6290;193;555;364;1813;1886;1182;297;54,5;0,7;0,8;1,5;1,2;10,1;31,2
"47 Willemspark";1779;58;113;70;705;513;248;72;43,8;1,7;0,7;1,1;0,8;13,7;38,1
"48 Nassaubuurt";1644;75;220;99;449;471;252;78;56,2;0,4;"x";1,0;0,6;10,2;31,4
"49 Haagse Bos";469;10;"x";8;153;91;118;86;48,2;2,6;"x";"x";"x";15,6;32,6
"50 Bloemenbuurt-West";2274;78;255;136;458;725;404;218;76,1;0,3;"x";1,6;0,7;3,5;17,8
"51 Bloemenbuurt-Oost";6548;328;718;287;2039;1836;1002;338;65,8;0,6;0,7;2,7;1,0;6,7;22,5
"52 Bomenbuurt";6066;280;645;310;2032;1621;925;253;60,3;1,2;0,7;2,8;1,2;7,1;26,6
"53 Vruchtenbuurt";7291;413;912;424;2241;2029;973;299;71,7;0,9;0,3;2,4;1,1;5,4;18,2
"54 Heesterbuurt";6869;377;673;320;3052;1687;639;121;51,5;2,4;2,0;6,7;2,3;10,7;24,4
"55 Valkenboskwartier";11493;561;933;516;5420;2814;1010;239;43,4;3,0;2,3;11,3;1,9;11,0;27,1
"60 Binckhorst";1254;101;45;31;805;215;55;"x";44,8;4,6;2,4;4,9;6,1;18,3;18,9
"61 Landen";5359;323;512;231;1998;1285;692;318;39,2;2,9;5,8;7,2;3,5;21,6;19,9
"62 Rivierenbuurt-Zuid";907;25;35;47;583;162;46;9;25,2;2,3;2,2;6,4;10,0;19,5;34,3
"63 Rivierenbuurt-Noord";4028;181;350;164;1929;937;368;99;31,7;3,0;6,0;7,0;6,3;20,4;25,8
"64 Bezuidenhout-West";5094;207;387;476;2737;896;329;62;27,5;3,3;5,5;8,3;3,6;23,6;28,2
"65 Bezuidenhout-Midden";4907;262;542;215;2192;1127;451;118;44,7;1,3;0,6;2,2;1,4;20,3;29,6
"66 Bezuidenhout-Oost";9356;488;628;285;4655;2043;965;292;54,4;1,2;0,4;2,2;1,5;13,0;27,3
"67 Kampen";2815;169;304;104;1080;664;389;105;41,7;2,1;4,7;5,6;4,1;21,6;20,3
"68 Marlot";800;22;102;68;147;252;167;42;59,3;"x";"x";"x";"x";12,3;27,8
"69 Burgen en Horsten";6696;326;604;242;2364;1608;1062;490;44,0;2,2;3,9;5,2;2,9;20,8;20,9
"70 Oostduinen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"71 Belgisch Park";8383;359;864;625;2448;2338;1344;405;61,8;0,8;0,6;2,0;1,1;9,5;24,2
"72 Rijslag";1743;69;157;88;534;433;253;209;64,9;1,1;0,7;2,2;1,4;6,8;22,8
"73 Westbroekpark";1079;23;93;54;141;221;339;208;64,6;0,5;"x";0,8;0,7;7,0;26,0
"74 Duttendel";1183;52;138;83;208;307;241;154;65,0;"x";"x";"x";1,3;7,8;25,4
"75 Uilennest";2330;107;247;100;641;647;378;210;53,4;0,8;0,6;1,2;0,7;12,1;31,2
"76 Duinzigt";2609;71;153;99;435;503;700;648;61,5;0,6;0,2;0,7;0,7;8,1;28,2
"77 Waalsdorp";4103;216;691;291;916;1159;614;216;60,2;0,6;0,2;0,5;0,9;8,7;29,0
"78 Arendsdorp";1973;83;273;97;523;491;316;190;47,9;0,6;0,3;0,8;0,5;12,7;37,3
"79 v Hoytemastraat eo";2443;149;342;150;699;700;309;94;56,6;0,6;"x";0,5;0,7;9,0;32,6
"80 Morgenstond-Zuid";6563;471;759;306;2762;1642;490;133;19,7;15,4;10,6;9,9;4,2;18,2;22,0
"81 Bosjes van Pex";380;11;28;25;78;141;78;19;68,7;"x";"x";2,1;"x";7,1;21,1
"82 Rosenburg";3400;118;210;106;1017;768;842;339;63,6;0,9;1,5;5,1;2,0;8,0;18,9
"83 Eykenduynen";2634;156;251;132;879;746;372;98;69,8;1,0;0,6;2,4;1,1;5,2;19,9
"84 Leyenburg";16749;889;1472;744;6768;4004;2122;750;52,7;4,5;2,3;6,9;2,4;9,0;22,3
"85 Kerketuinen/Zichtenburg";145;"x";"x";"x";76;61;5;"x";33,1;"x";6,2;11,7;"x";17,2;26,2
"86 Houtwijk";12746;579;1491;766;3544;3455;2343;568;60,1;4,8;4,4;6,3;1,6;8,9;13,9
"87 Venen/Oorden/Raden";8599;613;1181;556;3050;2111;858;230;20,4;21,0;13,9;9,8;3,5;17,7;13,6
"88 Morgenstond-West";7988;535;1014;410;2957;1932;868;272;27,0;21,8;9,6;15,1;2,1;12,0;12,4
"89 Morgenstond-Oost";6136;449;607;237;2595;1469;611;168;28,3;13,4;10,4;10,5;4,3;18,8;14,2
"90 Ockenburgh";1303;27;134;76;274;459;307;26;68,7;0,7;"x";2,6;1,1;8,9;17,7
"91 Kijkduin";1730;36;146;62;311;469;508;198;73,2;1,1;0,5;1,0;0,4;6,2;17,6
"92 Bohemen/Meer en Bos";4531;140;259;152;977;1195;1202;606;69,9;0,8;0,2;1,8;0,6;6,2;20,4
"93 Componistenbuurt";1842;52;140;75;376;529;474;196;68,4;0,4;"x";1,7;0,9;6,2;22,2
"94 Waldeck-Noord";3131;55;122;50;581;641;981;701;68,8;1,1;0,4;2,4;1,0;8,7;17,6
"95 Kom Loosduinen";5042;181;405;194;1401;1252;1040;569;68,1;1,7;2,4;4,3;1,7;6,6;15,2
"96 Zijden/Steden/Zichten";7785;520;991;442;2848;1946;832;206;22,7;23,1;13,0;8,0;3,1;15,0;15,1
"97 Kraayenstein & Vroondaal";8996;621;1294;530;2826;2488;994;243;65,6;3,0;1,6;4,3;1,2;8,1;16,0
"98 Dreven en Gaarden";11097;733;1498;717;3849;2577;1176;547;22,0;17,8;13,8;11,7;4,5;15,2;15,1
"99 De Uithof";1838;87;207;118;373;490;354;209;64,4;7,0;2,1;5,7;0,5;7,1;13,2
"100 Duindorp";5809;284;752;314;1823;1664;803;169;79,0;0,6;0,6;0,9;0,8;4,5;13,6
"101 Erasmus Veld";3267;193;382;180;1056;860;349;247;43,4;14,6;7,1;13,5;1,9;8,8;10,7
"102 Hoge Veld";9195;597;1727;699;3047;2327;586;212;45,9;13,4;8,4;11,9;1,2;9,4;9,9
"103 Parkbuurt Oosteinde";3450;134;408;274;889;1241;439;65;59,3;4,1;2,0;9,8;1,4;9,7;13,7
"104 Lage Veld";4202;220;502;295;1128;1365;596;96;45,6;10,1;10,6;11,3;2,2;9,8;10,3
"105 Zonne Veld";3393;215;419;290;1053;1142;251;23;47,2;11,7;7,0;13,6;1,8;9,9;8,7
"106 Vlietzoom-West";182;10;23;9;40;60;35;5;83,5;"x";"x";"x";"x";3,3;8,2
"107 Vliegeniersbuurt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"108 Bosweide";1964;74;260;230;383;784;196;37;59,7;1,4;"x";3,3;1,1;10,2;24,1
"109 Tedingerbroek";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"110 De Reef";688;68;102;40;351;95;29;"x";24,1;14,4;4,7;18,9;3,5;23,1;11,3
"111 De Venen";1798;138;302;94;743;400;109;12;41,3;7,3;5,8;14,3;2,7;15,9;12,8
"112 Morgenweide";7140;413;1016;587;2303;2167;570;84;48,1;5,5;5,8;10,5;2,5;14,5;13,1
"113 Singels";5504;273;698;420;1625;1814;580;94;50,0;4,0;2,7;12,3;2,1;14,6;14,4
"114 Waterbuurt";4721;236;633;399;1538;1471;384;60;50,7;5,5;4,6;11,9;2,7;11,5;13,2
"115 De Bras";5706;222;967;680;1332;2158;308;39;67,0;3,0;3,3;6,0;1,2;7,0;12,4
"116 Vlietzoom-Oost";102;"x";6;"x";24;33;29;5;75,5;"x";"x";"x";"x";"x";20,6
"117 De Rivieren";24;"x";"x";"x";5;13;"x";"x";100,0;"x";"x";"x";"x";"x";"x"
"118 De Lanen";5368;272;973;500;1655;1657;276;35;49,6;4,2;4,2;11,6;2,9;16,0;11,5
"119 De Velden";4162;145;528;344;1148;1427;491;79;55,0;4,0;4,6;10,3;1,1;14,6;10,4
"120 De Vissen";8346;350;998;704;2077;2929;998;290;58,3;2,6;4,0;11,5;1,7;10,7;11,2
"121 Rietbuurt";2758;145;660;184;873;742;137;17;47,7;4,6;7,7;10,8;1,9;15,4;11,8
