"GeographyCode","CT00100001","CT00100002","CT00100003","CT00100004","CT00100005","CT00100006","CT00100007","CT00100008","CT00100009","CT00100010","CT00100011","CT00100012","CT00100013","CT00100014","CT00100015","CT00100016","CT00100017","CT00100018","CT00100019","CT00100020","CT00100021","CT00100022","CT00100023","CT00100024","CT00100025","CT00100026","CT00100027","CT00100028","CT00100029","CT00100030","CT00100031","CT00100032","CT00100033","CT00100034","CT00100035","CT00100036","CT00100037","CT00100038","CT00100039","CT00100040","CT00100041","CT00100042","CT00100043","CT00100044","CT00100045","CT00100046","CT00100047","CT00100048","CT00100049","CT00100050","CT00100051","CT00100052","CT00100053","CT00100054","CT00100055","CT00100056","CT00100057","CT00100058","CT00100059","CT00100060","CT00100061","CT00100062","CT00100063","CT00100064","CT00100065","CT00100066","CT00100067","CT00100068","CT00100069","CT00100070","CT00100071","CT00100072","CT00100073","CT00100074","CT00100075","CT00100076","CT00100077","CT00100078","CT00100079","CT00100080","CT00100081","CT00100082","CT00100083","CT00100084","CT00100085","CT00100086","CT00100087","CT00100088","CT00100089","CT00100090","CT00100091","CT00100092","CT00100093","CT00100094","CT00100095"
"E01006512",1880,578,19,0,15,24,29,14,4,79,33,9,469,3,83,20,0,253,1,2,0,0,0,0,0,6,0,0,3,9,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,24,4,13,0,7,7,1,3,1,0,3,0,25,5,21,0,0,4,1,3,4,5,13,2,24,0,15,0,0,0,0,3,5,0,2,3,1,5,6,0,0,10,0,1,0,2,0,0
"E01006513",2941,1887,86,0,24,16,8,31,4,53,19,3,408,4,56,7,0,93,3,0,0,2,0,0,4,5,1,0,3,3,0,0,0,4,1,0,0,0,0,2,1,9,0,0,3,0,0,19,2,6,6,1,4,1,12,6,0,13,0,0,8,5,0,0,1,1,0,1,10,7,8,48,0,7,0,0,0,1,0,0,0,11,2,2,8,3,0,0,7,0,1,0,0,0,0
"E01006514",2108,1433,69,1,13,37,34,23,8,19,20,0,105,6,62,21,3,31,2,4,0,0,0,0,1,4,0,0,1,14,0,3,0,5,0,0,0,0,0,0,0,3,0,1,2,0,0,13,0,3,1,2,16,0,15,1,0,1,0,5,11,13,0,1,0,0,0,2,9,18,2,47,0,9,0,0,1,0,2,0,0,3,2,0,3,0,0,0,2,1,0,0,0,0,0
"E01006515",1208,708,24,0,11,37,35,10,13,4,0,0,159,0,24,9,0,44,1,1,0,0,0,0,1,0,0,0,3,19,0,0,0,1,1,0,0,0,0,2,0,6,0,0,1,0,0,12,2,1,0,0,4,0,1,0,0,0,0,22,3,7,0,0,0,0,0,0,0,5,0,15,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,2,0,0
"E01006518",1696,1288,29,0,1,29,27,17,2,5,3,7,43,1,59,16,6,47,1,0,0,0,0,0,1,5,1,1,3,18,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,17,0,0,0,0,2,0,1,0,0,1,0,3,0,2,0,0,1,0,0,0,7,5,6,5,0,10,0,0,0,0,7,8,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0
"E01006519",1286,1174,25,0,13,2,3,7,0,4,2,3,11,0,4,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E01006520",1706,1332,68,6,4,20,15,17,1,10,7,1,13,3,24,12,5,28,1,1,0,0,0,0,3,6,0,0,0,9,0,0,0,1,0,0,0,0,3,4,0,1,0,0,0,0,0,11,0,8,1,0,0,0,6,2,0,0,0,6,3,2,0,0,3,0,0,4,6,3,1,33,0,12,0,0,1,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,0,2,0
"E01006521",1660,1372,35,1,16,15,13,20,0,17,3,0,19,1,38,3,0,30,2,4,0,0,0,0,1,3,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,1,2,6,0,0,0,0,1,0,0,0,1,0,0,4,10,2,2,10,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"E01006522",1731,1349,60,0,8,30,35,25,10,16,6,1,19,5,19,20,1,25,0,1,0,0,0,0,5,2,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,4,0,0,1,0,0,0,1,0,0,7,2,0,0,0,0,0,0,3,2,3,0,27,0,6,0,0,2,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,1,0,0
"E01006523",1508,1242,33,1,6,21,13,8,4,11,14,0,8,1,20,8,1,20,2,1,0,0,0,0,2,4,0,0,6,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,21,0,8,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0
"E01006524",2431,2043,42,1,11,12,9,16,2,76,17,3,50,1,28,4,1,16,2,1,0,0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,10,0,3,1,0,4,0,2,1,1,8,0,0,3,3,0,0,1,0,1,0,3,9,0,16,0,9,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,2,0
"E01006525",1209,1088,19,0,4,6,3,15,0,5,5,0,24,0,5,2,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006526",1404,1270,20,0,3,8,13,8,3,4,2,4,5,2,8,3,3,1,0,0,0,0,1,0,3,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,11,1,0,1,0,0,0,0,0,1,0,2,2,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0
"E01006527",1454,1299,24,0,3,17,28,3,2,3,5,0,7,0,4,4,1,16,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,10,0,1,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"E01006528",1461,1192,32,0,6,3,18,18,3,12,22,1,18,0,38,8,1,9,4,0,0,0,0,0,0,9,0,0,0,5,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,1,0,0,0,0,4,0,0,0,0,2,2,1,0,0,3,0,0,1,1,3,1,18,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"E01006529",1304,1168,35,0,4,7,2,8,0,5,1,0,2,0,3,4,0,17,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,10,4,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,4,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0
"E01006530",1431,1356,19,0,0,0,4,5,7,1,0,5,13,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"E01006531",1458,1403,9,0,1,3,5,2,0,11,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"E01006532",1557,1353,27,0,6,1,2,7,4,40,38,0,20,1,7,1,0,9,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,1,1,1,0,1,0,4,0,0,0,0,5,1,1,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
"E01006533",1408,1290,14,0,5,5,1,8,1,34,7,0,18,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006534",1542,1295,17,0,5,15,11,7,4,26,15,0,62,1,9,5,0,17,0,0,0,0,0,1,0,0,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,10,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
"E01006535",1639,1503,21,0,5,14,5,11,2,5,4,2,10,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,4,0,0,3,0,0,0,0,0,4,1,0,7,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0
"E01006536",1848,1696,18,0,3,19,13,9,3,0,0,6,16,0,13,3,0,12,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,2,0,1,0,0,8,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006537",2257,1917,23,5,9,10,15,17,2,33,23,0,23,0,16,0,0,1,4,0,0,0,1,0,0,31,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,35,0,13,0,65,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"E01006538",1318,1265,6,0,0,10,0,7,0,5,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E01006539",1437,1258,16,0,2,5,3,5,1,23,8,1,22,0,12,1,0,6,7,0,0,0,0,0,6,0,0,0,2,1,0,0,0,0,0,1,0,0,0,3,0,1,0,0,4,0,0,4,3,0,6,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"E01006540",1509,1199,14,1,7,13,7,18,3,6,6,0,19,2,60,7,0,48,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,5,0,2,0,0,0,0,15,0,0,0,0,0,0,0,0,1,15,1,2,0,23,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006541",1593,1549,4,0,1,4,1,4,0,1,2,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0
"E01006542",1397,1309,14,0,3,2,6,1,2,1,0,1,2,0,8,1,2,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006543",1247,1219,10,0,3,0,0,3,5,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006544",1658,1586,7,0,0,18,4,2,1,1,0,0,19,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006545",1512,1442,9,0,6,11,1,1,0,7,1,0,10,1,5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006546",1319,1231,10,0,3,5,0,2,0,0,1,0,8,0,22,0,0,7,0,0,0,0,0,0,0,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,4,0,5,0,0,0,0,1,0,0,0,0,0,0
"E01006547",1490,1299,19,1,0,13,0,4,3,3,1,0,18,2,22,10,0,28,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,13,2,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,16,0,0,0,0,1,0,0,6,0,2,0,0,0,0,0,0,2,0,0,0,0
"E01006548",1675,1454,25,0,3,4,11,3,2,7,5,1,19,1,47,5,2,19,0,0,0,0,0,0,0,2,0,0,2,11,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,5,9,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,4,0,11,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0
"E01006549",1662,1071,52,2,13,25,16,23,17,23,14,8,27,1,88,16,8,52,0,0,1,2,0,0,1,4,0,0,3,12,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,16,0,3,0,0,8,0,6,1,0,0,0,31,2,0,0,0,0,0,0,7,3,4,8,24,0,29,0,0,0,0,21,0,0,3,0,0,2,0,0,0,0,0,3,1,0,1,0
"E01006550",1595,1241,77,5,9,30,20,15,4,35,21,14,12,0,29,6,2,17,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,2,0,2,1,0,1,0,0,1,3,0,0,0,0,0,0,4,1,1,13,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
"E01006551",1581,1263,26,0,11,22,18,18,3,13,14,2,41,0,39,18,3,3,0,8,0,1,0,0,1,0,0,0,5,8,0,1,0,0,2,1,0,0,0,1,0,4,0,0,0,0,0,4,0,1,1,0,0,0,2,1,0,0,5,9,0,0,0,0,1,0,0,1,3,0,2,19,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"E01006552",2029,688,29,0,14,33,86,17,21,32,40,10,36,2,212,13,10,411,3,15,0,0,0,2,0,7,0,1,13,31,2,0,0,0,2,1,0,0,0,1,0,4,0,0,0,0,0,21,15,1,0,0,29,0,2,0,0,0,5,40,0,0,2,0,1,0,0,0,0,6,16,21,0,44,0,2,0,0,70,0,0,11,0,0,0,2,0,0,2,0,3,0,0,0,0
"E01006553",1880,1504,73,2,3,27,26,18,4,41,16,7,17,1,19,26,4,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,1,0,0,5,6,1,2,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,3,2,5,2,8,14,0,4,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,0,2,0,0,0,0
"E01006554",1692,1309,63,1,11,15,23,17,3,16,3,49,4,4,18,6,3,30,0,1,1,2,0,0,1,5,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,3,0,0,0,0,0,5,1,5,0,0,1,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,5,4,4,23,1,29,1,0,0,0,4,0,2,4,0,0,0,1,0,0,0,0,1,0,0,1,0
"E01006556",2011,749,45,7,5,46,67,19,13,35,30,43,53,9,237,55,13,199,6,9,1,0,0,0,0,8,0,0,5,53,0,0,0,0,3,0,0,0,0,2,0,2,0,0,0,0,0,12,0,1,0,0,33,0,1,0,0,0,0,61,0,9,0,0,1,0,3,8,3,31,17,6,0,46,1,0,0,0,25,0,0,16,0,0,3,3,0,0,1,0,16,0,0,0,0
"E01006557",2054,1524,91,0,7,21,16,32,3,41,54,37,25,4,49,12,5,26,1,1,0,0,0,0,4,6,1,2,1,13,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,6,6,0,0,0,3,0,1,0,0,0,0,3,3,1,0,0,1,0,0,1,2,7,5,19,0,7,0,0,0,0,1,5,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0
"E01006558",1357,1252,7,0,5,12,3,1,0,2,0,3,26,2,11,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01006560",1860,1695,10,0,9,14,5,2,2,4,6,2,6,1,50,0,0,7,3,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"E01006562",1514,1347,16,1,3,10,5,9,3,2,0,0,29,2,34,2,0,10,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,13,0,0,0,0,0,0,0,0,1,5,0,3,0,0,0,0,0,0,0,0,0
"E01006563",1744,1522,16,0,7,8,31,3,0,9,2,0,11,2,35,11,0,1,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,1,0,0,1,0,0,0,5,0,1,0,1,0,0,0,0,0,3,0,6,0,11,0,0,0,0,0,0,0,11,0,0,0,16,0,0,0,2,0,0,0,0,0
"E01006564",1721,1578,20,0,1,9,10,2,2,35,0,0,10,0,14,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E01006565",1549,1434,22,0,0,8,6,2,8,50,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"E01006566",1506,1362,26,0,1,10,8,5,0,7,5,0,14,1,20,4,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,2,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,6,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0
"E01006567",1655,1540,13,1,3,0,13,2,1,24,8,1,5,0,11,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"E01006568",1617,1499,26,0,5,9,4,8,3,0,5,0,12,0,23,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"E01006569",1429,1359,19,0,0,3,10,3,5,0,1,0,3,0,8,2,0,1,3,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"E01006570",1479,1394,13,0,0,8,2,2,2,15,0,0,11,0,3,2,0,2,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
